experiment,conv_filters,kernel,dense_units,activation,optimizer,lr,batch,epochs,train_acc,val_acc,test_acc
more_epochs,"(32, 64, 128)","(3, 3)","(256,)",relu,adam,0.001,64,40,0.9861,0.6625,0.6358
smaller_batch,"(32, 64, 128)","(3, 3)","(256,)",relu,adam,0.001,32,20,0.9517,0.6514,0.6475
tanh_activation,"(32, 64, 128)","(3, 3)","(256,)",tanh,adam,0.001,64,20,0.9937,0.6486,0.6425
baseline,"(32, 64, 128)","(3, 3)","(256,)",relu,adam,0.001,64,20,0.8938,0.6306,0.6025
fewer_conv,"(32, 64)","(3, 3)","(256,)",relu,adam,0.001,64,20,0.933,0.625,0.6308
rmsprop_optimizer,"(32, 64, 128)","(3, 3)","(256,)",relu,rmsprop,0.001,64,20,0.908,0.6222,0.6092
larger_kernel_5x5,"(32, 64, 128)","(5, 5)","(256,)",relu,adam,0.001,64,20,0.9431,0.5889,0.6108
adam_low_lr,"(32, 64, 128)","(3, 3)","(256,)",relu,adam,0.0001,64,20,0.5882,0.525,0.5417
adam_high_lr,"(32, 64, 128)","(3, 3)","(256,)",relu,adam,0.01,64,20,0.6747,0.4514,0.4558
sigmoid_activation,"(32, 64, 128)","(3, 3)","(256,)",sigmoid,adam,0.001,64,20,0.4212,0.4056,0.4108
sgd_optimizer,"(32, 64, 128)","(3, 3)","(256,)",relu,sgd,0.01,64,20,0.399,0.3972,0.4067
